"Name","description","start_year","end_year"
"Harry Potter","A series of fantasy novels written by J.K. Rowling.","1997","2007",
"The Lord of the Rings","A high-fantasy epic trilogy written by J.R.R. Tolkien.","1954","1955",
"Percy Jackson & the Olympians","A series of adventure and fantasy novels by Rick Riordan.","2005","2009",
"A Song of Ice and Fire","A series of epic fantasy novels by George R.R. Martin.","1996","pres",
"Twilight","A series of vampire-themed fantasy romance novels by Stephenie Meyer.","2005","2008",
"The Hunger Games","A dystopian trilogy novel series by Suzanne Collins.","2008","2010",
"Chronicles of Narnia","A series of seven high fantasy novels by C.S. Lewis.","1950","1956",
"The Maze Runner","A series of young adult dystopian science fiction novels by James Dashner.","2009","2016",
"The Divergent Series","A trilogy of young adult dystopian novels by Veronica Roth.","2011","2013",
"Red Rising","A trilogy of science fiction novels by Pierce Brown.","2014","2016",
"The Expanse","A series of science fiction novels by James S.A. Corey.","2011","pres",
"The Mortal Instruments","A series of young adult urban fantasy novels by Cassandra Clare.","2007","2014",
"The Dark Tower","A series of eight books written by American author Stephen King.","1982","2012",
"Alex Rider","A series of spy novels by British author Anthony Horowitz.","2000","pres",
"Diary of a Wimpy Kid","A series of fiction books written by American author Jeff Kinney.","2007","pres",
"Vampire Academy","A series of six young adult paranormal romance novels by Richelle Mead.","2007","2010",
"The Millennium Trilogy","A series of crime novels by Swedish author Stieg Larsson.","2005","2007",
